bin_left,bin_right,count,acc,conf,gap
0.0,0.1,156,0.07051282051282051,0.019833543961701866,-0.050679276551118646
0.1,0.2,24,0.125,0.14298330518476832,0.017983305184768317
0.2,0.30000000000000004,13,0.07692307692307693,0.2530550986719559,0.176132021748879
0.30000000000000004,0.4,11,0.2727272727272727,0.3536193517772093,0.08089207904993662
0.4,0.5,6,0.5,0.4547473136749533,-0.0452526863250467
0.5,0.6000000000000001,13,0.38461538461538464,0.5516326879366086,0.16701730332122394
0.6000000000000001,0.7000000000000001,15,0.6,0.6538215638697147,0.053821563869714706
0.7000000000000001,0.8,7,0.42857142857142855,0.7516437344607854,0.3230723058893568
0.8,0.9,14,0.5714285714285714,0.8504929821760882,0.27906441074751676
0.9,1.0,12,1.0,0.9567363151245648,-0.04326368487543519
